"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,187,"ROU","Romania",1,"Alba","RO.AB",NA,"","Judet","County","",""
2,187,"ROU","Romania",2,"Arad","RO.AR",NA,"","Judet","County","",""
3,187,"ROU","Romania",3,"Arge<U+0219>","RO.AG",NA,"","Judet","County","","Arges"
4,187,"ROU","Romania",4,"Bacau","RO.BC",NA,"","Judet","County","","Bacau"
5,187,"ROU","Romania",5,"Bihor","RO.BH",NA,"","Judet","County","",""
6,187,"ROU","Romania",6,"Bistri<U+021B>a-Nasaud","RO.BN",NA,"","Judet","County","","Bistrita-nasaud"
7,187,"ROU","Romania",7,"Boto<U+0219>ani","RO.BT",NA,"","Judet","County","","Botosani"
8,187,"ROU","Romania",8,"Bra<U+0219>ov","RO.BV",NA,"","Judet","County","","Brasov"
9,187,"ROU","Romania",9,"Braila","RO.BR",NA,"","Judet","County","","Braila"
10,187,"ROU","Romania",10,"Bucharest","RO.BI",NA,"","Municipiu","Municipality","","Bucuresti"
11,187,"ROU","Romania",11,"Buzau","RO.BZ",NA,"","Judet","County","","Buzau"
12,187,"ROU","Romania",12,"Calara<U+0219>i","RO.CL",NA,"","Judet","County","","Calarasi"
13,187,"ROU","Romania",13,"Cara<U+0219>-Severin","RO.CS",NA,"","Judet","County","","Caras-severin"
14,187,"ROU","Romania",14,"Cluj","RO.CJ",NA,"","Judet","County","",""
15,187,"ROU","Romania",15,"Constan<U+021B>a","RO.CT",NA,"","Judet","County","","Constanta"
16,187,"ROU","Romania",16,"Covasna","RO.CV",NA,"","Judet","County","",""
17,187,"ROU","Romania",17,"Dâmbovi<U+021B>a","RO.DB",NA,"","Judet","County","","Dambovita"
18,187,"ROU","Romania",18,"Dolj","RO.DJ",NA,"","Judet","County","",""
19,187,"ROU","Romania",19,"Gala<U+021B>i","RO.GL",NA,"","Judet","County","","Galati"
20,187,"ROU","Romania",20,"Giurgiu","RO.GR",NA,"","Judet","County","",""
21,187,"ROU","Romania",21,"Gorj","RO.GJ",NA,"","Judet","County","",""
22,187,"ROU","Romania",22,"Harghita","RO.HR",NA,"","Judet","County","",""
23,187,"ROU","Romania",23,"Hunedoara","RO.HD",NA,"","Judet","County","",""
24,187,"ROU","Romania",24,"Ia<U+0219>i","RO.IS",NA,"","Judet","County","","Iasi"
25,187,"ROU","Romania",25,"Ialomi<U+021B>a","RO.IL",NA,"","Judet","County","","Ialomita"
26,187,"ROU","Romania",26,"Ilfov","RO.IF",NA,"","Judet","County","",""
27,187,"ROU","Romania",27,"Maramure<U+0219>","RO.MM",NA,"","Judet","County","","Maramures"
28,187,"ROU","Romania",28,"Mehedin<U+021B>i","RO.MH",NA,"","Judet","County","","Mehedinti"
29,187,"ROU","Romania",29,"Mure<U+0219>","RO.MS",NA,"","Judet","County","","Mures"
30,187,"ROU","Romania",30,"Neam<U+021B>","RO.NT",NA,"","Judet","County","","Neamt"
31,187,"ROU","Romania",31,"Olt","RO.OT",NA,"","Judet","County","",""
32,187,"ROU","Romania",32,"Prahova","RO.PH",NA,"","Judet","County","",""
33,187,"ROU","Romania",33,"Salaj","RO.SJ",NA,"","Judet","County","","Salaj"
34,187,"ROU","Romania",34,"Satu Mare","RO.SM",NA,"","Judet","County","",""
35,187,"ROU","Romania",35,"Sibiu","RO.SB",NA,"","Judet","County","",""
36,187,"ROU","Romania",36,"Suceava","RO.SV",NA,"","Judet","County","",""
37,187,"ROU","Romania",37,"Teleorman","RO.TR",NA,"","Judet","County","",""
38,187,"ROU","Romania",38,"Timi<U+0219>","RO.TM",NA,"","Judet","County","","Timis"
39,187,"ROU","Romania",39,"Tulcea","RO.TL",NA,"","Judet","County","",""
40,187,"ROU","Romania",40,"Vâlcea","RO.VL",NA,"","Judet","County","","Valcea"
41,187,"ROU","Romania",41,"Vaslui","RO.VS",NA,"","Judet","County","",""
42,187,"ROU","Romania",42,"Vrancea","RO.VN",NA,"","Judet","County","",""
